,nom_film,type_production,theme_production,Synopsis,Realisateur,duree_film,sortie_film,acteurs_principaux,charts,rang,charts_IMDB,charts_METACRITIC,other_details
16,The Lighthouse,Film,"['Drame', ' fantastique', 'Épouvante-horreur']",L'histoire hypnotique et hallucinatoire de deux gardiens de phare sur une île mystérieuse et reculée de Nouvelle-Angleterre dans les années 1890.,['Robert Eggers'],1 h 49 min,18 décembre 2019,"['Willem Dafoe', ' Robert Pattinson et Valeriia Karaman']","{'note_moyenne': 7.1, 'nombre_critiques': 9568, 'repartition_note': [55, 57, 128, 299, 652, 1454, 2671, 2878, 1080, 294]}",17,"['7,5', '140 720']",83,"{'budget': None, 'Cumulative_WW_Gross': '$18,115,548', 'location': 'Canada | USA | Brazil'}"
17,Douleur et Gloire,Film,['Drame'],"Une série de retrouvailles après plusieurs décennies, certaines en chair et en os, d’autres par le souvenir, dans la vie d’un réalisateur en souffrance. Premières amours, les suivantes, la mère, la mort, des acteurs avec qui il a travaillé, les années 60, les années 80 et le présent. L’impossibilité de séparer création et vie privée. Et le vide, l’insondable vide face à l’incapacité de continuer à tourner.",['Pedro Almodovar'],1 h 53 min,17 mai 2019,"['Antonio Banderas', ' Penélope Cruz', ' Asier Etxeandia']","{'note_moyenne': 7.2, 'nombre_critiques': 9417, 'repartition_note': [21, 22, 65, 163, 543, 1438, 3168, 2870, 877, 250]}",18,"['7,5', '48 704']",87,"{'budget': None, 'Cumulative_WW_Gross': '$37,359,689', 'location': 'Spain | France'}"
18,Vice,Film,"['Biopic', ' comédie', 'drame']","Fin connaisseur des arcanes de la politique américaine, Dick Cheney a réussi, sans faire de bruit, à se faire élire vice-président aux côtés de George W. Bush. Devenu l’homme le plus puissant du pays, il a largement contribué à imposer un nouvel ordre mondial dont on sent encore les conséquences aujourd’hui…",['Adam McKay'],2 h 12 min,13 février 2019,"['Christian Bale', ' Amy Adams', ' Steve Carell']","{'note_moyenne': 7.1, 'nombre_critiques': 12165, 'repartition_note': [26, 26, 86, 220, 628, 1917, 4452, 3677, 942, 191]}",19,"['7,2', '121 113']",61,"{'budget': '$60,000,000', 'Cumulative_WW_Gross': '$76,073,488', 'location': 'USA'}"
19,Le Daim,Film,"['Comédie', 'thriller']","Georges, 44 ans, et son blouson, 100% daim, ont un projet.",['Quentin Dupieux (Mr. Oizo)'],1 h 17 min,19 juin 2019,"['Jean Dujardin', ' Adèle Haenel', ' Albert Delpy']","{'note_moyenne': 6.8, 'nombre_critiques': 14815, 'repartition_note': [67, 90, 215, 463, 1165, 3081, 5614, 3246, 695, 179]}",20,"['6,7', '6 134']",65,"{'budget': 'EUR4,000,000', 'Cumulative_WW_Gross': '$1,653,264', 'location': 'France'}"
20,Us,Film,"['Thriller', 'Épouvante-horreur']","De retour dans sa maison d’enfance, à Santa Cruz sur la côte Californienne, Adelaïde Wilson a décidé de passer des vacances de rêves avec son mari Gabe et leurs deux enfants : Zora et Jason. Un traumatisme aussi mystérieux qu’irrésolu refait surface suite à une série d’étranges coïncidences qui déclenchent la paranoïa de cette mère de famille de plus en plus persuadée qu’un terrible malheur va s’abattre sur ceux qu’elle aime. Après une journée tendue à la plage avec leurs amis les Tyler, les Wilson rentrent enfin à la maison où ils découvrent quatre personnes se tenant la main dans leur allée. Ils vont alors affronter le plus terrifiant et inattendu des adversaires : leurs propres doubles.",['Jordan Peele'],1 h 56 min,20 mars 2019,"[""Lupita Nyong'o"", ' Winston Duke', ' Elisabeth Moss']","{'note_moyenne': 6.4, 'nombre_critiques': 15858, 'repartition_note': [119, 214, 428, 969, 1941, 3832, 4754, 2712, 691, 198]}",21,"['6,8', '225 291']",81,"{'budget': '$20,000,000', 'Cumulative_WW_Gross': '$255,184,580', 'location': 'USA | China | Japan'}"
21,Le Mans 66,Film,"['Biopic', ' drame', 'sport']","Basé sur une histoire vraie, le film suit une équipe d’excentriques ingénieurs américains menés par le visionnaire Carroll Shelby et son pilote britannique Ken Miles, qui sont envoyés par Henry Ford II pour construire à partir de rien une nouvelle automobile qui doit détrôner la Ferrari à la compétition du Mans de 1966.",['James Mangold'],2 h 32 min,13 novembre 2019,"['Matt Damon', ' Christian Bale', ' Caitriona Balfe']","{'note_moyenne': 7.4, 'nombre_critiques': 11831, 'repartition_note': [16, 16, 34, 86, 307, 1229, 4145, 4516, 1196, 286]}",22,"['8,1', '287 357']",81,"{'budget': '$97,600,000', 'Cumulative_WW_Gross': '$225,508,210', 'location': 'USA'}"
22,Glass,Film,"['Thriller', 'fantastique']","Peu de temps après les événements relatés dans SPLIT, David Dunn - l’homme incassable - poursuit sa traque de La Bête, surnom donné à Kevin Crumb depuis qu’on le sait capable d’endosser 23 personnalités différentes. De son côté, le mystérieux homme souffrant du syndrome des os de verre Elijah Price suscite à nouveau l’intérêt des forces de l’ordre en affirmant détenir des informations capitales sur les deux hommes…",['M. Night Shyamalan'],2 h 09 min,16 janvier 2019,"['James McAvoy', ' Bruce Willis', ' Samuel L. Jackson']","{'note_moyenne': 6.3, 'nombre_critiques': 19919, 'repartition_note': [101, 231, 569, 1398, 2747, 5141, 5685, 2970, 825, 252]}",23,"['6,7', '207 134']",43,"{'budget': '$20,000,000', 'Cumulative_WW_Gross': '$246,999,039', 'location': 'USA | China'}"
23,Une vie cachée,Film,"['Biopic', ' drame', ' romance']","Franz Jägerstätter, paysan autrichien, refuse de se battre aux côtés des nazis. Reconnu coupable de trahison par le régime hitlérien, il est passible de la peine capitale. Mais porté par sa foi inébranlable et son amour pour sa femme, Fani, et ses enfants, Franz reste un homme libre.",['Terrence Malick'],2 h 54 min,11 décembre 2019,"['August Diehl', ' Valerie Pachner', ' Maria Simon']","{'note_moyenne': 7.4, 'nombre_critiques': 4453, 'repartition_note': [19, 28, 68, 138, 277, 545, 1048, 1318, 729, 283]}",24,"['7,4', '17 930']",78,"{'budget': None, 'Cumulative_WW_Gross': '$4,605,813', 'location': 'USA | UK | Germany'}"
24,La Mule,Film,"['Drame', ' gangster', 'thriller']","À plus de 80 ans, Earl Stone est aux abois. Il est non seulement fauché et seul, mais son entreprise risque d’être saisie. Il accepte alors un boulot de chauffeur. Mais en réalité, sans le savoir, il s’est engagé à être passeur de drogue pour un cartel mexicain.",['Clint Eastwood'],1 h 56 min,23 janvier 2019,"['Clint Eastwood', ' Bradley Cooper', ' Laurence Fishburne']","{'note_moyenne': 6.7, 'nombre_critiques': 15192, 'repartition_note': [28, 73, 181, 419, 1325, 3754, 6010, 2720, 533, 149]}",25,"['7,0', '111 347']",58,"{'budget': '$50,000,000', 'Cumulative_WW_Gross': '$174,804,407', 'location': 'USA | Canada'}"
25,J'ai perdu mon corps,Long-métrage d'animation,"['Animation', ' drame', ' fantastique']","A Paris, Naoufel tombe amoureux de Gabrielle. Un peu plus loin dans la ville, une main coupée s’échappe d’un labo, bien décidée à retrouver son corps. S’engage alors une cavale vertigineuse à travers la ville, semée d’embûches et des souvenirs de sa vie jusqu’au terrible accident. Naoufel, la main, Gabrielle, tous trois retrouveront, d’une façon poétique et inattendue, le fil de leur histoire...",['Jérémy Clapin'],1 h 21 min,6 novembre 2019,"['Hakim Faris', ' Victoire Du Bois', "" Patrick d'Assumçao""]","{'note_moyenne': 7.5, 'nombre_critiques': 8360, 'repartition_note': [14, 14, 30, 90, 266, 874, 2461, 3135, 1164, 312]}",26,"['7,6', '26 321']",81,"{'budget': None, 'Cumulative_WW_Gross': '$1,136,431', 'location': 'France'}"
26,Alita : Battle Angel,Film,"['Action', 'science-fiction']","Lorsqu’Alita se réveille sans aucun souvenir de qui elle est, dans un futur qu’elle ne reconnaît pas, elle est accueillie par Ido, un médecin qui comprend que derrière ce corps de cyborg abandonné, se cache une jeune femme au passé extraordinaire. Ce n’est que lorsque les forces dangereuses et corrompues qui gèrent la ville d’Iron City se lancent à sa poursuite qu’Alita découvre la clé de son passé - elle a des capacités de combat uniques, que ceux qui détiennent le pouvoir veulent absolument maîtriser. Si elle réussit à leur échapper, elle pourrait sauver ses amis, sa famille, et le monde qu’elle a appris à aimer.",['Robert Rodriguez'],2 h 02 min,13 février 2019,"['Rosa Salazar', ' Christoph Waltz', ' Jennifer Connelly']","{'note_moyenne': 6.4, 'nombre_critiques': 16937, 'repartition_note': [89, 163, 422, 898, 2013, 4252, 5426, 2603, 745, 326]}",27,"['7,3', '227 116']",53,"{'budget': '$170,000,000', 'Cumulative_WW_Gross': '$404,980,543', 'location': 'USA | Japan | Canada'}"
27,Klaus,Long-métrage d'animation,"['Animation', ' aventure', ' comédie']","Après avoir obtenu tant bien que mal son diplôme à l'école des postiers dans laquelle il s'est illustré pour sa nullité, Jesper se retrouve envoyé dans un village glacé et sinistre, perdu sur une île située au-delà du cercle arctique. Et sa première mission s'annonce ardue : ici, les habitants se détestent cordialement et n'ont pas l'intention de s'écrire des lettres. Alors qu'il perd espoir, le jeune facteur fait la rencontre de Klaus, un étrange homme aussi taciturne qu'imposant. A eux deux, ils parviendront peut-être à réchauffer le cœur des villageois en leur offrant des jouets.",['Sergio Pablos'],1 h 36 min,15 novembre 2019,"['Jason Schwartzman', ' J.K. Simmons', ' Rashida Jones']","{'note_moyenne': 7.7, 'nombre_critiques': 10580, 'repartition_note': [7, 5, 15, 38, 147, 772, 3175, 4240, 1697, 484]}",28,"['8,2', '103 148']",65,"{'budget': '$40,000,000', 'Cumulative_WW_Gross': None, 'location': 'Spain | UK'}"
28,Dragons 3 : Le Monde caché,Long-métrage d'animation,"['Animation', ' action', ' aventure']","Harold est maintenant le chef de Berk au côté d’Astrid et Krokmou, en tant que dragon, est devenu le leader de son espèce. Ils réalisent enfin leurs rêves de vivre en paix entre vikings et dragons. Mais lorsque l’apparition soudaine d’une Furie Eclair coïncide avec la plus grande menace que le village n’ait jamais connue, Harold et Krokmou sont forcés de quitter leur village pour un voyage dans un monde caché dont ils n’auraient jamais soupçonnés l’existence. Alors que leurs véritables destins se révèlent, dragons et vikings vont se battre ensemble jusqu’au bout du monde pour protéger tout ce qu’ils chérissent.",['Dean Deblois'],1 h 44 min,6 février 2019,"['Jay Baruchel', ' America Ferrera', ' Gerard Butler']","{'note_moyenne': 7.0, 'nombre_critiques': 11648, 'repartition_note': [29, 37, 89, 234, 720, 2246, 4177, 2758, 909, 449]}",29,"['7,5', '103 635']",71,"{'budget': '$129,000,000', 'Cumulative_WW_Gross': '$524,383,588', 'location': 'USA | Japan'}"
29,Grâce à Dieu,Film,['Drame'],"Alexandre vit à Lyon avec sa femme et ses enfants. Un jour, il découvre par hasard que le prêtre qui a abusé de lui aux scouts officie toujours auprès d’enfants. Il se lance alors dans un combat, très vite rejoint par François et Emmanuel, également victimes du prêtre, pour « libérer leur parole » sur ce qu’ils ont subi.
Mais les répercussions et conséquences de ces aveux ne laisseront personne indemne.",['François Ozon'],2 h 17 min,20 février 2019,"['Melvil Poupaud', ' Denis Ménochet', ' Swann Arlaud']","{'note_moyenne': 7.1, 'nombre_critiques': 8622, 'repartition_note': [26, 29, 62, 138, 421, 1354, 3187, 2608, 634, 163]}",30,"['7,2', '5 378']",75,"{'budget': None, 'Cumulative_WW_Gross': '$7,755,652', 'location': 'France | Belgium'}"
30,Rocketman,Film,"['Biopic', ' drame', ' musique']","Rocketman nous raconte la vie hors du commun d’Elton John, depuis ses premiers succès jusqu’à sa consécration internationale. Le film retrace la métamorphose de Reginald Dwight, un jeune pianiste prodige timide, en une superstar mondiale. Il est aujourd’hui connu sous le nom d’Elton John. Son histoire inspirante – sur fond des plus belles chansons de la star – nous fait vivre l’incroyable succès d’un enfant d’une petite ville de province devenu icône de la pop culture mondiale.",['Dexter Fletcher'],2 h 01 min,29 mai 2019,"['Taron Egerton', ' Jamie Bell', ' Richard Madden']","{'note_moyenne': 6.8, 'nombre_critiques': 9997, 'repartition_note': [29, 47, 115, 276, 785, 2035, 3564, 2373, 596, 177]}",31,"['7,3', '135 384']",69,"{'budget': '$40,000,000', 'Cumulative_WW_Gross': '$195,179,299', 'location': 'UK | USA | Canada'}"
31,John Wick : Parabellum,Film,"['Action', ' thriller', 'policier']","John Wick a transgressé une règle fondamentale : il a tué à l’intérieur même de l’Hôtel Continental. ""Excommunié"", tous les services liés au Continental lui sont fermés et sa tête mise à prix. John se retrouve sans soutien, traqué par tous les plus dangereux tueurs du monde.",['Chad Stahelski'],2 h 11 min,22 mai 2019,"['Keanu Reeves', ' Halle Berry', ' Laurence Fishburne']","{'note_moyenne': 6.5, 'nombre_critiques': 10734, 'repartition_note': [74, 113, 255, 567, 1204, 2498, 3575, 1773, 469, 206]}",32,"['7,4', '273 651']",73,"{'budget': '$75,000,000', 'Cumulative_WW_Gross': '$327,281,779', 'location': 'USA'}"
32,La Belle Époque,Film,"['Comédie', 'drame']","Victor, un sexagénaire désabusé, voit sa vie bouleversée le jour où Antoine, un brillant entrepreneur, lui propose une attraction d’un genre nouveau : mélangeant artifices théâtraux et reconstitution historique, cette entreprise propose à ses clients de replonger dans l’époque de leur choix. Victor choisit alors de revivre la semaine la plus marquante de sa vie : celle où, 40 ans plus tôt, il rencontra le grand amour...",['Nicolas Bedos'],1 h 55 min,6 novembre 2019,"['Daniel Auteuil', ' Guillaume Canet', ' Doria Tillier']","{'note_moyenne': 7.1, 'nombre_critiques': 9788, 'repartition_note': [32, 32, 98, 166, 469, 1386, 3470, 3058, 869, 208]}",33,"['7,4', '10 374']",75,"{'budget': None, 'Cumulative_WW_Gross': '$14,334,479', 'location': 'France | Belgium'}"
33,Ne coupez pas !,Film,"['Comédie', 'Épouvante-horreur']",Les choses vont mal pour le réalisateur et l'équipe de tournage d'un film de zombies à petit budget dans une installation japonaise abandonnée de la Seconde Guerre mondiale car ils sont attaqués par de vrais zombies.,"[""Shin'ichirô Ueda""]",1 h 36 min,24 avril 2019,"['Takayuki Hamatsu', ' Yuzuki Akiyama', ' Harumi Shuhama']","{'note_moyenne': 7.4, 'nombre_critiques': 2952, 'repartition_note': [12, 13, 38, 56, 108, 308, 842, 1079, 384, 112]}",34,"['7,7', '17 425']",86,"{'budget': 'JPY3,000,000', 'Cumulative_WW_Gross': '$27,590,180', 'location': 'Japan'}"
34,Edmond,Film,['Comédie dramatique'],"Décembre 1897, Paris. Edmond Rostand n'a pas encore trente ans mais déjà deux enfants et beaucoup d'angoisses. Il n'a rien écrit depuis deux ans. En désespoir de cause, il propose au grand Constant Coquelin une pièce nouvelle, une comédie héroïque, en vers, pour les fêtes. Seul souci : elle n'est pas encore écrite. Faisant fi des caprices des actrices, des exigences de ses producteurs corses, de la jalousie de sa femme, des histoires de cœur de son meilleur ami et du manque d'enthousiasme de l'ensemble de son entourage, Edmond se met à écrire cette pièce à laquelle personne ne croit. Pour l'instant, il n'a que le titre : "" Cyrano de Bergerac """,['Alexis Michalik'],1 h 50 min,9 janvier 2019,"['Thomas Soliveres', ' Olivier Gourmet', ' Mathilde Seigner']","{'note_moyenne': 7.1, 'nombre_critiques': 6520, 'repartition_note': [20, 44, 64, 113, 265, 884, 2201, 2061, 664, 204]}",35,"['7,4', '2 292']",61,"{'budget': None, 'Cumulative_WW_Gross': '$5,985,822', 'location': 'France | Belgium'}"
